Ticker,Price,Change %,Debt/Eq,ATR/Price %,"Avg Volume, M",RSI,ROE %,Rel Volume,z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
PANW,181.26,-6.8,0.1,3.2494758909853245,5.17,45.33,21.16,3.67,-0.9382650058788208,-2.747357298428706,6.163218049870719,0.011945366935601786,2.521416879788218,0.1,0.12409181924205762,0.12937234495449104
UNH,302.98,-5.78,0.86,7.178691662816027,12.86,28.14,24.33,3.41,-2.727422965641689,-2.1720192562560423,5.584170193438301,3.5922516393426998,2.472413652417596,0.1,0.056170872609591416,0.1268580195820806
TRU,82.43,-8.81,1.18,4.197500909862914,2.12,43.99,8.68,2.63,-1.0777339800546344,-3.8811116756513093,3.8470266241410482,0.8757869370066832,2.4174226106246217,0.1,0.09606510720416835,0.12403646314479481
TGT,93.01,-5.21,1.36,3.8705515535963873,8.55,41.66,29.12,3.15,-1.3202434650021326,-1.8505068209242592,5.005122337005884,0.5778702790840996,2.053000039567004,0.1,0.10417982277510399,0.10533816579063868
BIDU,85.48,-4.32,0.3,3.8137576041179218,4.71,42.71,9.14,3.54,-1.2109580747897406,-1.3484961762834053,5.87369412165451,0.526119562055449,2.0179358560009586,0.1,0.10573125425175998,0.10353904415858431
KHC,26.63,-4.55,0.44,2.328201276755539,11.14,32.15,5.36,1.89,-2.310056856354365,-1.4782292642243,2.198967340448783,-0.8275212013255547,1.8484457304248447,0.1,0.17319523828176067,0.09484261035258285
PSX,111.78,-7.54,0.69,3.909465020576132,3.71,47.66,6.48,1.93,-0.6957555209313234,-3.1647594074559326,2.2880516260537704,0.6133282783386871,1.747457722312425,0.1,0.10314285273644708,0.08966097794323517
LSCC,46.54,-7.59,0.03,6.489041684572411,3.1,41.93,7.39,1.44,-1.292141507518946,-3.1929622526604757,1.1967691273926757,2.9638417259516094,1.5127559689461716,0.1,0.06214066644913928,0.0776185757362375
JHX,23.87,-3.48,0.57,3.9379974863845826,2.24,45.14,21.77,2.94,-0.9580404574410628,-0.8746883768470937,4.5374298375797,0.6393270964829095,1.485008349868504,0.1,0.10239553892295082,0.07619486251540615
CAVA,83.69,-6.37,0.57,5.532321663281157,3.98,37.25,21.73,1.18,-1.779242103894177,-2.5048128296696417,0.6177212709602582,2.0920772589239847,1.4137557550469897,0.1,0.07288682752702089,0.07253893582194886
