Ticker,ROE %,Rel Volume,ATR/Price %,Change %,Debt/Eq,Price,RSI,"Avg Volume, M",z_RSI,z_Change%,z_RelVolume,z_ATR/Price%,final_score,Weight_EW,Weight_IV,Weight_SW
BEKE,6.53,5.08,3.140227395776936,-2.74,0.32,18.47,42.52,9.33,-0.9658878293828462,-0.6953871978507109,8.271047743572396,0.3512284714225709,2.200532961103967,0.1,0.09322222574465336,0.1425035418318336
ADBE,52.25,2.79,2.3488562091503264,-5.32,0.57,391.68,39.31,3.8,-1.2525639753000533,-1.9088367926292944,3.6803174893314314,-0.42206351482665466,1.8847601181242233,0.1,0.12463044184580274,0.12205451910220094
BF-B,23.14,1.96,4.160363086232981,-3.11,0.68,26.44,21.13,3.57,-2.876169063391899,-0.869409038962368,2.0164283578816495,1.348058742283427,1.5794321331719807,0.1,0.07036380746367121,0.10228189126833152
ONON,15.84,1.75,3.73134328358209,-6.23,0.27,52.26,37.38,5.33,-1.424926891692642,-2.336836455903911,1.5954443607678495,0.9288400735492941,1.5428220364574337,0.1,0.07845404856388152,0.09991107086216428
CPRT,18.54,1.47,2.5313850586540436,-2.8,0.01,48.59,19.89,5.87,-2.9869100044938732,-0.7236069558688173,1.0341323646161158,-0.2437046119934726,1.5298778702495122,0.1,0.11564379989440009,0.09907282414498565
V,50.03,2.2,2.0660337253790564,-4.99,0.55,352.85,42.41,6.45,-0.9757116225451187,-1.753628123529708,2.497552926011707,-0.6984248025855625,1.524621976587087,0.1,0.1416912916680261,0.0987324595716637
BRO,16.18,3.56,2.4104295629337833,-0.17,0.59,106.62,38.97,2.2,-1.2829284268925305,0.513359103924855,5.223925478748698,-0.361896829645455,1.3503240417529714,0.1,0.12144681250190269,0.08744516077320588
SN,24.75,0.99,4.346767320102277,-6.6,0.46,82.13,34.66,2.01,-1.6678425044324565,-2.510858297015568,0.07188322835600101,1.530204494731784,1.3239014767048303,0.1,0.06734636699435168,0.08573407115528299
CAVA,21.73,1.36,4.559474319431407,-4.7,0.57,74.57,29.55,3.65,-2.1242023504252687,-1.6172326264421928,0.8136169375565063,1.7380521151404662,1.298420417900866,0.1,0.06420454786444957,0.08408395220983968
PPG,18.47,1.18,2.3800564440263408,-5.11,1.13,106.3,39.13,2.11,-1.2686392732019527,-1.8100676395659212,0.452773511458963,-0.3915760621540832,1.2072597279759567,0.1,0.12299665745886093,0.07818050908049164
