,Total Return (%),Annualized Return (%),Annualized Volatility (%),Sharpe Ratio,Max Drawdown (%),Sortino Ratio,Tracking Error (%),Information Ratio,Train Start Date,Train End Date,Test Start Date,Test End Date
Portfolio,2.56,39.81,27.61,1.44,-6.96,1.82,18.05,2.37,2023-01-03,2024-12-31,2025-01-02,2025-01-31
VGT,-0.76,-9.64,30.63,-0.31,-6.12,-0.39,,,2023-01-03,2024-12-31,2025-01-02,2025-01-31
Portfolio,2.56,39.81,27.61,1.44,-6.96,1.82,18.05,2.37,2023-01-03,2024-12-31,2025-01-02,2025-01-31
VGT,-0.76,-9.64,30.63,-0.31,-6.12,-0.39,,,2023-01-03,2024-12-31,2025-01-02,2025-01-31
Portfolio,2.56,39.81,27.61,1.44,-6.96,1.82,18.05,2.37,2023-01-03,2024-12-31,2025-01-02,2025-01-31
VGT,-0.76,-9.64,30.63,-0.31,-6.12,-0.39,,,2023-01-03,2024-12-31,2025-01-02,2025-01-31
Portfolio,2.56,39.81,27.61,1.44,-6.96,1.82,18.05,2.37,2023-01-03,2024-12-31,2025-01-02,2025-01-31
VGT,-0.76,-9.64,30.63,-0.31,-6.12,-0.39,,,2023-01-03,2024-12-31,2025-01-02,2025-01-31
Portfolio,2.56,39.81,27.61,1.44,-6.96,1.82,18.05,2.37,2023-01-03,2024-12-31,2025-01-02,2025-01-31
VGT,-0.76,-9.64,30.63,-0.31,-6.12,-0.39,,,2023-01-03,2024-12-31,2025-01-02,2025-01-31
Portfolio,-0.09,-1.22,19.84,-0.06,-7.88,-0.09,18.34,1.08,2023-02-01,2025-01-31,2025-02-03,2025-02-28
VGT,-1.54,-19.55,23.33,-0.84,-8.56,-1.0,,,2023-02-01,2025-01-31,2025-02-03,2025-02-28
Portfolio,0.68,8.47,26.25,0.32,-5.66,0.38,16.64,4.37,2023-03-01,2025-02-28,2025-03-03,2025-04-01
VGT,-5.31,-48.06,29.53,-1.63,-7.47,-2.16,,,2023-03-01,2025-02-28,2025-03-03,2025-04-01
Portfolio,3.33,48.24,67.18,0.72,-17.67,1.14,21.0,0.62,2023-04-03,2025-04-01,2025-04-01,2025-05-01
VGT,2.23,30.34,67.24,0.45,-14.7,0.74,,,2023-04-03,2025-04-01,2025-04-01,2025-05-01
Portfolio,11.43,291.21,28.7,10.15,-5.0,21.82,19.24,1.85,2023-05-01,2025-05-01,2025-05-01,2025-05-30
VGT,8.44,177.74,23.61,7.53,-3.51,19.68,,,2023-05-01,2025-05-01,2025-05-01,2025-05-30
Portfolio,2.23,32.02,20.87,1.53,-3.37,3.05,13.02,-4.71,2023-06-01,2025-05-30,2025-06-02,2025-07-01
VGT,7.4,145.79,14.8,9.85,-1.66,17.44,,,2023-06-01,2025-05-30,2025-06-02,2025-07-01
