Date,TRGP,QRVO
2025-01-02,0.02449333,0.02976644
2025-01-03,0.02410977,0.02912015
2025-01-06,0.02363957,0.02869206
2025-01-07,0.02369677,0.02810189
2025-01-08,0.02340260,0.02805032
2025-01-10,0.02337095,0.02835515
2025-01-13,0.02312422,0.02810174
2025-01-14,0.02342839,0.02701902
2025-01-15,0.02286185,0.02677881
2025-01-16,0.02303524,0.02641752
2025-01-17,0.02339331,0.03067403
2025-01-21,0.02279889,0.03139969
2025-01-22,0.02510699,0.03124830
2025-01-23,0.02479722,0.03118613
2025-01-24,0.02485335,0.03180463
2025-01-27,0.02854407,0.03325928
2025-01-28,0.02756004,0.03478886
