Date,QRVO,TRGP
2025-01-02,1.00000000,1.00000000
2025-01-03,1.01247133,1.01699117
2025-01-06,1.03411697,1.01693534
2025-01-07,1.05547592,1.02600325
2025-01-08,1.04759174,1.04872887
2025-01-10,1.02766628,1.05594300
2025-01-13,1.03081995,1.07871888
2025-01-14,1.04386468,1.10008208
2025-01-15,1.06307339,1.12258436
2025-01-16,1.05490252,1.16328388
2025-01-17,1.20713876,1.17841568
2025-01-21,1.25544725,1.18660696
2025-01-22,1.24842317,1.15410429
2025-01-23,1.29830849,1.15476317
2025-01-24,1.27494266,1.14208819
2025-01-27,1.25616399,1.08838983
2025-01-28,1.22964450,1.10548709
