Ticker,Date,TR,ATR,ATRP,RollingStalePct,RollMedDollarVol,RollingSameVolCount
VOO,2025-08-13,3.2409999999999854,5.207220342454467,0.008808642732127546,0.0,2939980321.8795004,0.0
VOO,2025-08-14,3.0009999999999764,5.049633175136289,0.00854192049031866,0.0,2940884967.304,0.0
VOO,2025-08-15,3.2799999999999727,4.923230805483695,0.008346114069203036,0.0,2946085995.1225,0.0
VOO,2025-08-18,1.66599999999994,4.690571462234855,0.007954516329759928,0.0,2960128654.1940002,0.0
VOO,2025-08-19,5.165000000000077,4.724459214932371,0.008055989507995307,0.0,2969911238.6184998,0.0
VOO,2025-08-20,6.261999999999944,4.834283556722912,0.008265046506064916,0.0,2973949235.0335,0.0
VOO,2025-08-21,3.9189999999999827,4.768906159814132,0.00818550191865166,0.0,2973949235.0335,0.0
VOO,2025-08-22,10.020999999999958,5.1440557198274055,0.00869636379590715,0.0,2978218442.7985,0.0
VOO,2025-08-25,2.6720000000000255,4.967480311268307,0.008433523556691682,0.0,2989747154.1829996,0.0
VOO,2025-08-26,3.630000000000109,4.871946003320579,0.00823841967252355,0.0,2989747154.1829996,0.0
VOO,2025-08-27,2.6920000000000073,4.716235574511967,0.007956869668922294,0.0,3002742170.5195,0.0
VOO,2025-08-28,3.7889999999999873,4.650004462046826,0.007817511649841088,0.0,3011245661.415,0.0
VOO,2025-08-29,5.2549999999999955,4.693218429043481,0.007935924457579496,0.0,3018711212.6895,0.0
VOO,2025-09-02,9.383000000000038,5.028202826968949,0.008565480914924338,0.0,3019993026.4975,0.0
VOO,2025-09-03,3.5100000000001046,4.919759767899746,0.008338109508959237,0.0,3027490809.2525,0.0
VOO,2025-09-04,5.154999999999973,4.93656264162119,0.008298292020227622,0.0,3043364438.662,0.0
VLO,2025-08-13,3.1999999999999886,3.757800121133795,0.02777445265699753,0.0,378336779.03,0.0
VLO,2025-08-14,3.0999999999999943,3.7108143981956667,0.027493827458124953,0.0,378336779.03,0.0
VLO,2025-08-15,2.325000000000017,3.6118276554674065,0.02656869169775131,0.0,378336779.03,0.0
VLO,2025-08-18,2.016999999999996,3.4979113943625917,0.025728828303623986,0.0,374135371.02900004,0.0
VLO,2025-08-19,3.0600000000000023,3.4666320090509783,0.025291698955619762,0.0,374135371.02900004,0.0
VLO,2025-08-20,3.2690000000000055,3.452515436975909,0.024726172290882396,0.0,374135371.02900004,0.0
VLO,2025-08-21,2.6140000000000043,3.3926214771919154,0.024335393026317258,0.0,372059680.26400006,0.0
VLO,2025-08-22,5.534999999999997,3.5456485145353502,0.024544324095662786,0.0,370771309.607,0.0
VLO,2025-08-25,3.5670000000000073,3.5471736206399687,0.024264465076750272,0.0,369393642.14,0.0
VLO,2025-08-26,2.0570000000000164,3.4407326477371147,0.0235619818511194,0.0,370771309.607,0.0
VLO,2025-08-27,4.680999999999983,3.529323172898748,0.02355630350674953,0.0,370771309.607,0.0
VLO,2025-08-28,2.3149999999999977,3.44258580340598,0.022918028422346803,0.0,369393642.14,0.0
VLO,2025-08-29,3.1310000000000002,3.4203296745912675,0.022642642675223708,0.0,369393642.14,0.0
VLO,2025-09-02,3.031000000000006,3.3925204121204633,0.022128067496692803,0.0,370771309.607,0.0
VLO,2025-09-03,5.038000000000011,3.510054668397574,0.022732631299286127,0.0,372059680.26400006,0.0
VLO,2025-09-04,2.384999999999991,3.4296936206548896,0.022210739953469134,0.0,372059680.26400006,0.0
JPST,2025-08-13,0.019700000000000273,0.02561260392286031,0.0005134237113665447,0.0,253494867.8999,0.0
JPST,2025-08-14,0.01580000000000581,0.024911703642656418,0.0004994727653110999,0.0,252192929.44959998,0.0
JPST,2025-08-15,0.02960000000000207,0.02524658195389539,0.0005059871282273901,0.0,252192929.44959998,0.0
JPST,2025-08-18,0.009900000000001796,0.02415039752861728,0.0004840176113095373,0.0,252192929.44959998,0.0
JPST,2025-08-19,0.02960000000000207,0.024539654848001906,0.0004915274389538352,0.0,250684018.50460002,0.0
JPST,2025-08-20,0.019800000000003593,0.024201108073144885,0.0004846502682104985,0.0,250684018.50460002,0.0
JPST,2025-08-21,0.02960000000000207,0.024586743210777542,0.0004926650157653158,0.0,250684018.50460002,0.0
JPST,2025-08-22,0.05910000000000082,0.027051975838579205,0.0005414217605345215,0.0,250684018.50460002,0.0
JPST,2025-08-25,0.009799999999998477,0.025819691850109155,0.000516860044762559,0.0,250684018.50460002,0.0
JPST,2025-08-26,0.019700000000000273,0.025382571003672808,0.0005079094380679947,0.0,250684018.50460002,0.0
JPST,2025-08-27,0.019700000000000273,0.024976673074839056,0.0004996893645785296,0.0,252192929.44959998,0.0
JPST,2025-08-28,0.009799999999998477,0.02389262499806473,0.00047800163647187383,0.0,253494867.8999,0.0
JPST,2025-08-29,0.02960000000000207,0.024300294641060254,0.0004859660436056294,0.0,254892645.56634998,0.0
JPST,2025-09-02,0.019700000000000273,0.02397170216669883,0.00047930942288402676,0.0,255205695.45604998,0.0
JPST,2025-09-03,0.019800000000003593,0.023673723440506313,0.00047316407317812137,0.0,255327384.8949,0.0
JPST,2025-09-04,0.019799999999996487,0.023397028909041325,0.0004674488220200614,0.0,256689606.8468,0.0
