Date,Ticker,Weight
2025-04-01,BRO,0.0978932711352443
2025-04-01,COR,0.166636645484671
2025-04-01,GLDM,0.1112489799189363
2025-04-01,IAU,0.1114368106979164
2025-04-01,MCK,0.1431988230241548
2025-04-01,MMC,0.0971982623261065
2025-04-01,PHYS,0.1826568018793789
2025-04-01,VRSN,0.0897304055335914
2025-04-02,AM,0.1174443386278404
2025-04-02,ATO,0.093587895748414
2025-04-02,EXE,0.0853153883745034
2025-04-02,GLD,0.1066345718105916
2025-04-02,IAU,0.1064912499110834
2025-04-02,IGF,0.1136159685931059
2025-04-02,NI,0.0916041079346881
2025-04-02,OGE,0.1049572737351536
2025-04-02,PHYS,0.1803492052646191
2025-04-03,BRO,0.118636066407133
2025-04-03,CCEP,0.0725623708717205
2025-04-03,COR,0.1412212343095889
2025-04-03,HCA,0.1062919931727876
2025-04-03,MCK,0.1283169613567313
2025-04-03,MMC,0.089283275982464
2025-04-03,RSG,0.1308638874965925
2025-04-03,WCN,0.1040932459409939
2025-04-03,WM,0.1087309644619879
2025-04-04,BLV,0.0391184159856099
2025-04-04,BSV,0.0889436855684335
2025-04-04,FTSM,0.265841819625807
2025-04-04,JPST,0.152137698151985
2025-04-04,PULS,0.1519876072659327
2025-04-04,SPTL,0.0221801891717765
2025-04-04,SPTS,0.1391778862213668
2025-04-04,TLH,0.0236228007517535
2025-04-04,VGSH,0.1169898972573345
2025-04-07,BJ,0.0103221402807398
2025-04-07,BSCP,0.2976296723450057
2025-04-07,CNC,0.007356761427114
2025-04-07,DG,0.0133565947273904
2025-04-07,KR,0.0066567857784165
2025-04-07,SHY,0.2372279275168098
2025-04-07,SPTS,0.1809859548360378
2025-04-07,UNH,0.0131553759991916
2025-04-07,VGSH,0.2333087870892939
2025-04-08,BSCP,0.0811066028026851
2025-04-08,FTSM,0.229435033414708
2025-04-08,JPST,0.1547249605135866
2025-04-08,MDLZ,0.0050071324899761
2025-04-08,PPC,0.0057597486493858
2025-04-08,PULS,0.0972981831072488
2025-04-08,SHY,0.1386663917019348
2025-04-08,SPTS,0.1308555923897742
2025-04-08,VGSH,0.1571463549307001
2025-04-09,FLOT,0.0677081160210688
2025-04-09,HCA,0.0491339459151935
2025-04-09,HMY,0.0519656532344738
2025-04-09,JAAA,0.1791929267736593
2025-04-09,KGC,0.0555960301268735
2025-04-09,LMT,0.0483420492746967
2025-04-09,NOC,0.0644335015588143
2025-04-09,PAAA,0.3112876457727597
2025-04-09,UNH,0.17234013132246
2025-04-10,FYBR,0.10275593258844919
2025-04-10,GLDM,0.05976952621618052
2025-04-10,LDOS,0.01740465756711605
2025-04-10,PSN,0.030792150287899608
2025-04-10,SAIC,0.021851413919611633
2025-04-10,SCHO,0.1996597770640985
2025-04-10,SGOL,0.059833884637330303
2025-04-10,SPTS,0.24393449588610133
2025-04-10,VGSH,0.2639981618332128
